corp_code,recddate,filename'
102902,2014-04-03 00:00:00.000,Mahindra_&_Mahindra_Ltd_operational data Mar 14 030414.pdf'
100465,2014-04-03 00:00:00.000,Force_Motors_Ltd_operational data Mar 14 030414.pdf'
102544,1992-10-12 00:00:00.000,Kelvinator- Bonus and PCD Rights Issue 12.10.92.pdf'
105215,2005-02-23 00:00:00.000,TVS Motor Pref. allotment of pref. share 23.02.2005.pdf'
101716,2014-04-04 00:00:00.000,Ambuja_Cements_Ltd_AGM 040414.pdf'
105114,2014-04-04 00:00:00.000,Tata_Steel_Ltd_operational data 040414.pdf'
555920,2014-04-04 00:00:00.000,Divis_Laboratories_Ltd_Dir Appointment 040414.pdf'
556154,2014-04-07 00:00:00.000,GMR_Infrastructure_Ltd_pref allt 070414.pdf'
103308,2014-04-07 00:00:00.000,Nava_Bharat_Ventures_Ltd1_operational data 070414.pdf'
107402,2014-04-07 00:00:00.000,JSW_Steel_Ltd_operational data 070414.pdf'
104856,2014-04-07 00:00:00.000,Sun_Pharmaceutical_Industries_Ltd1_Acquisition 070414.pdf'
102980,2014-04-07 00:00:00.000,Maruti_Suzuki_India_Ltd_operational data Mar 14 070414.pdf'
101314,2014-04-08 00:00:00.000,EID_Parry_India_Ltd_operational data 080414.pdf'
100031,2014-04-09 00:00:00.000,ACC_Ltd_AGM 090414.pdf'
556058,2014-04-09 00:00:00.000,Suzlon_Energy_Ltd_others 090414.pdf'
100628,2014-04-07 00:00:00.000,BHEL_Press release_NSE 070414.pdf'
555600,2014-04-10 00:00:00.000,Tata_Teleservices_(Maharashtra)_Ltd1_operational data 100414.pdf'
104341,2014-04-10 00:00:00.000,Sesa_Sterlite_Ltd_operational data 100414.pdf'
101967,2014-04-10 00:00:00.000,Hindustan_Zinc_Ltd_operational data 100414.pdf'
103415,2014-04-11 00:00:00.000,NMDC_Ltd_operational data 110414.pdf'
100461,2014-04-11 00:00:00.000,Bajaj_Electricals_Ltd_operational data 110414.pdf'
555803,2014-04-11 00:00:00.000,KPIT_Technologies_Ltd_CAPITAL RAISING 110414.pdf'
